,Type,"City,Town,Ward,Village",Area,Nearest stationFName,Nearest stationFDistance(minute),Layout,Area(m^2),Year of construction,Building structure,Use,City Planning,Maximus Building Coverage Ratio(%),Maximus Floor-area Ratio(%),Transaction period,Renovation,Transaction-price(total)
850,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1LDK,30,2007,RC,House,Commercial Zone,80.0,500.0,4th quarter 2018,Done,27000000
851,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,Unknown,20,2009,RC,Other,Commercial Zone,80.0,500.0,4th quarter 2018,Unknown,23000000
852,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,5,1K,20,2009,RC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2018,Not yet,22000000
853,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2012,RC,Other,Commercial Zone,80.0,500.0,4th quarter 2018,Not yet,23000000
854,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,7,1DK,30,2002.0,Unknown,Other,Commercial Zone,80.0,500.0,4th quarter 2018,Unknown,12000000
855,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2012,RC,House,Commercial Zone,80.0,500.0,4th quarter 2018,Done,23000000
856,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,2LDK,50,1999,SRC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2018,Not yet,37000000
857,Residential Land(Land Only),Toshima Ward,Kamiikebukuro,Kitaikebukuro,4,Unknown,85,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2018,Unknown,30000000
858,Residential Land(Land Only),Toshima Ward,Kamiikebukuro,Kitaikebukuro,11,Unknown,55,2002.0,Unknown,Other,Category I Residential Zone,60.0,300.0,3rd quarter 2018,Unknown,34000000
859,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2007,RC,House,Commercial Zone,80.0,500.0,3rd quarter 2018,Not yet,24000000
860,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,5,1K,20,2008,RC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2018,Unknown,20000000
861,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,7,1K,20,2009,RC,House,Category I Residential Zone,60.0,300.0,3rd quarter 2018,Not yet,22000000
862,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2007,RC,House,Commercial Zone,80.0,500.0,3rd quarter 2018,Done,22000000
863,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,2LDK,85,1991,RC,House,Commercial Zone,80.0,500.0,3rd quarter 2018,Not yet,35000000
864,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1DK,35,2009,RC,House,Commercial Zone,80.0,500.0,3rd quarter 2018,Done,31000000
865,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,2LDK+S,70,1997,SRC,House,Commercial Zone,80.0,500.0,3rd quarter 2018,Done,45000000
866,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,7,1K,20,1989,RC,House,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2018,Not yet,12000000
867,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,6,1K,20,2004,RC,House,Category I Residential Zone,60.0,300.0,3rd quarter 2018,Not yet,19000000
868,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,6,1K,20,2004,RC,House,Category I Residential Zone,60.0,300.0,3rd quarter 2018,Not yet,21000000
869,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,6,1K,20,2009,RC,House,Category I Residential Zone,60.0,300.0,3rd quarter 2018,Not yet,20000000
870,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,1LDK,40,2002.0,Unknown,House,Commercial Zone,80.0,500.0,3rd quarter 2018,Done,31000000
871,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,4,Unknown,75,2002,W,House,Quasi-industrial Zone,60.0,300.0,2nd quarter 2018,Unknown,60000000
872,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,1,1LDK,20,2002,RC,Other,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2018,Not yet,14000000
873,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1DK,35,2009,RC,Other,Commercial Zone,80.0,500.0,2nd quarter 2018,Not yet,34000000
874,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,3DK,60,1997,SRC,House,Commercial Zone,80.0,500.0,2nd quarter 2018,Done,37000000
875,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,2LDK,65,2005,RC,Other,Commercial Zone,80.0,500.0,2nd quarter 2018,Done,48000000
876,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1LDK,35,1999,SRC,House,Commercial Zone,80.0,500.0,2nd quarter 2018,Not yet,25000000
877,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,7,3LDK,65,2002,RC,House,Category I Residential Zone,60.0,300.0,2nd quarter 2018,Not yet,44000000
878,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,6,1K,20,2004,RC,Other,Category I Residential Zone,60.0,300.0,2nd quarter 2018,Unknown,21000000
879,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,1,1LDK,35,2002,RC,Other,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2018,Unknown,27000000
880,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1DK,35,2009,RC,Other,Commercial Zone,80.0,500.0,2nd quarter 2018,Unknown,24000000
881,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,5,Unknown,60,1988,W,House,Category I Residential Zone,60.0,300.0,1st quarter 2018,Unknown,26000000
882,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,3LDK,60,1999,SRC,Other,Commercial Zone,80.0,500.0,1st quarter 2018,Unknown,45000000
883,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2007,RC,House,Commercial Zone,80.0,500.0,1st quarter 2018,Unknown,19000000
884,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,2LDK,55,1997,SRC,House,Commercial Zone,80.0,500.0,1st quarter 2018,Done,38000000
885,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2007,RC,Other,Commercial Zone,80.0,500.0,1st quarter 2018,Not yet,21000000
886,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,2LDK,55,1999,SRC,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2018,Not yet,37000000
888,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,4,Unknown,70,1960,W,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2017,Unknown,26000000
889,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,Unknown,65,2017,W,Housing Complex,Commercial Zone,80.0,500.0,4th quarter 2017,Unknown,79000000
890,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,7,Unknown,90,2006,W,Housing Complex,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2017,Unknown,65000000
891,Residential Land(Land Only),Toshima Ward,Kamiikebukuro,Kitaikebukuro,2,Unknown,130,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2017,Unknown,50000000
892,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,5,1K,20,2009,RC,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2017,Not yet,23000000
893,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,2DK,45,1997,SRC,Other,Commercial Zone,80.0,500.0,4th quarter 2017,Done,33000000
894,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,6,1K,15,1988,RC,Other,Category I Residential Zone,60.0,300.0,4th quarter 2017,Not yet,8000000
895,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2007,RC,Other,Commercial Zone,80.0,500.0,4th quarter 2017,Not yet,19000000
896,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2007,RC,House,Commercial Zone,80.0,500.0,4th quarter 2017,Not yet,19000000
897,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,6,1K,20,2004,RC,Other,Category I Residential Zone,60.0,300.0,4th quarter 2017,Not yet,21000000
898,Residential Land(Land Only),Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,Unknown,45,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2017,Unknown,17000000
899,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,Unknown,120,2002.0,W,"House, Shop",Commercial Zone,80.0,500.0,3rd quarter 2017,Unknown,150000000
900,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,4,1K,20,1988,RC,Other,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2017,Not yet,6000000
902,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,7,1K,20,1989,RC,House,Commercial Zone,80.0,500.0,3rd quarter 2017,Done,12000000
903,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,Unknown,125,2016,RC,Housing Complex,Commercial Zone,80.0,500.0,2nd quarter 2017,Unknown,320000000
904,Residential Land(Land Only),Toshima Ward,Kamiikebukuro,Kitaikebukuro,4,Unknown,80,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2017,Unknown,35000000
905,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,Unknown,230,1977,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2017,Unknown,110000000
906,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,3LDK,60,1999,SRC,House,Commercial Zone,80.0,500.0,2nd quarter 2017,Done,45000000
907,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,7,1R,15,1991,SRC,House,Category I Residential Zone,60.0,300.0,2nd quarter 2017,Not yet,15000000
908,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2009,RC,House,Commercial Zone,80.0,500.0,2nd quarter 2017,Not yet,21000000
909,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2007,RC,House,Commercial Zone,80.0,500.0,2nd quarter 2017,Not yet,19000000
910,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,7,1K,20,1989,RC,House,Commercial Zone,80.0,500.0,2nd quarter 2017,Unknown,16000000
911,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2007,RC,House,Commercial Zone,80.0,500.0,2nd quarter 2017,Not yet,16000000
912,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,1K,30,2007,RC,House,Commercial Zone,80.0,500.0,2nd quarter 2017,Not yet,22000000
913,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,10,2LDK,50,1989,SRC,Other,Commercial Zone,80.0,500.0,2nd quarter 2017,Not yet,25000000
914,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,2,Unknown,125,1978,S,Housing Complex,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2017,Unknown,54000000
915,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,2LDK,55,1997,SRC,House,Commercial Zone,80.0,500.0,1st quarter 2017,Done,35000000
916,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,2,Unknown,135,1990,Unknown,"Housing Complex, Workshop",Neighborhood Commercial Zone,80.0,400.0,4th quarter 2016,Unknown,120000000
917,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,4,Unknown,170,1968,RC,Housing Complex,Neighborhood Commercial Zone,80.0,400.0,4th quarter 2016,Unknown,130000000
918,Residential Land(Land Only),Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,Unknown,45,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2016,Unknown,37000000
919,Residential Land(Land Only),Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,Unknown,55,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2016,Unknown,37000000
920,Residential Land(Land Only),Toshima Ward,Kamiikebukuro,Kitaikebukuro,5,Unknown,75,2002.0,Unknown,Other,Category I Residential Zone,60.0,300.0,4th quarter 2016,Unknown,44000000
921,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,7,1K,20,1989,RC,House,Commercial Zone,80.0,500.0,4th quarter 2016,Unknown,11000000
922,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,5,Unknown,20,2008,RC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2016,Not yet,18000000
923,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,2LDK,55,1997,SRC,House,Commercial Zone,80.0,500.0,4th quarter 2016,Done,36000000
924,Residential Land(Land Only),Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,Unknown,135,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2016,Unknown,79000000
925,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,3,Unknown,185,2002.0,Unknown,Other,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2016,Unknown,75000000
926,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2007,RC,House,Commercial Zone,80.0,500.0,3rd quarter 2016,Unknown,22000000
927,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,1988,SRC,House,Commercial Zone,80.0,500.0,3rd quarter 2016,Not yet,12000000
928,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,7,3LDK,50,2002.0,SRC,House,Commercial Zone,80.0,500.0,3rd quarter 2016,Done,48000000
929,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,3,Unknown,15,1988,RC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2016,Not yet,15000000
930,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,4LDK,90,1997,SRC,House,Commercial Zone,80.0,500.0,3rd quarter 2016,Unknown,47000000
931,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,2LDK,65,1999,SRC,House,Commercial Zone,80.0,500.0,3rd quarter 2016,Not yet,38000000
932,Residential Land(Land Only),Toshima Ward,Kamiikebukuro,Kitaikebukuro,4,Unknown,50,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2016,Unknown,24000000
933,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,Unknown,210,1980,W,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2016,Unknown,88000000
934,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,4,Unknown,15,1988,RC,House,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2016,Not yet,7600000
936,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,Unknown,90,1999,SRC,House,Commercial Zone,80.0,500.0,2nd quarter 2016,Unknown,50000000
937,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,Unknown,65,2005,RC,House,Commercial Zone,80.0,500.0,2nd quarter 2016,Done,54000000
938,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2007,RC,House,Commercial Zone,80.0,500.0,1st quarter 2016,Not yet,20000000
939,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,7,2LDK,85,1991,RC,House,Commercial Zone,80.0,500.0,1st quarter 2016,Not yet,39000000
940,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2007,RC,House,Commercial Zone,80.0,500.0,1st quarter 2016,Unknown,20000000
941,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,2,Unknown,135,1990,RC,"Housing Complex, Workshop",Neighborhood Commercial Zone,80.0,400.0,4th quarter 2015,Unknown,98000000
942,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,5,Unknown,100,1985,W,"House, Housing Complex",Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2015,Unknown,45000000
943,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,10,Unknown,70,2009,W,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2015,Unknown,60000000
944,Residential Land(Land Only),Toshima Ward,Kamiikebukuro,Kitaikebukuro,3,Unknown,160,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,4th quarter 2015,Unknown,46000000
945,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,2LDK,55,1997,SRC,House,Commercial Zone,80.0,500.0,4th quarter 2015,Done,36000000
946,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,1K,20,2007,RC,House,Commercial Zone,80.0,500.0,4th quarter 2015,Unknown,22000000
947,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,Unknown,65,1999,SRC,House,Commercial Zone,80.0,500.0,4th quarter 2015,Not yet,33000000
948,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,4,Unknown,60,1962,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2015,Unknown,30000000
949,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,Unknown,40,1990,"RC, W",House,Category I Residential Zone,60.0,300.0,3rd quarter 2015,Unknown,26000000
950,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,7,Unknown,70,2015,W,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2015,Unknown,46000000
951,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,2LDK,55,1997,SRC,House,Commercial Zone,80.0,500.0,3rd quarter 2015,Done,32000000
952,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,3LDK,65,2005,RC,House,Commercial Zone,80.0,500.0,3rd quarter 2015,Done,47000000
953,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,Unknown,20,2007,RC,House,Commercial Zone,80.0,500.0,3rd quarter 2015,Not yet,19000000
954,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,2LDK,55,1997,SRC,House,Commercial Zone,80.0,500.0,3rd quarter 2015,Done,34000000
955,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,11,Unknown,40,2015,W,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2015,Unknown,41000000
956,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,6,1K,15,1988,RC,House,Category I Residential Zone,60.0,300.0,2nd quarter 2015,Done,7300000
957,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,2DK,55,1997,SRC,House,Commercial Zone,80.0,500.0,2nd quarter 2015,Done,32000000
958,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,4,1K,15,1988,RC,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2015,Unknown,18000000
959,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,11,Unknown,30,2002.0,SRC,House,Commercial Zone,80.0,500.0,2nd quarter 2015,Unknown,15000000
960,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,7,Unknown,55,2006,W,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2015,Unknown,43000000
961,Residential Land(Land and Building),Toshima Ward,Kamiikebukuro,Kitaikebukuro,7,Unknown,45,2015,W,House,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2015,Unknown,44000000
962,Residential Land(Land Only),Toshima Ward,Kamiikebukuro,Kitaikebukuro,10,Unknown,40,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2015,Unknown,28000000
963,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,8,3LDK,65,2005,RC,House,Commercial Zone,80.0,500.0,1st quarter 2015,Unknown,46000000
964,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,9,3LDK,60,1997,SRC,House,Commercial Zone,80.0,500.0,1st quarter 2015,Done,33000000
965,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Kitaikebukuro,4,Unknown,20,1988,RC,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2015,Unknown,7200000
966,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Nishisugamo,9,1LDK+S,60,1998,SRC,House,Commercial Zone,80.0,500.0,4th quarter 2019,Not yet,37000000
967,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Nishisugamo,9,1DK,35,1979,SRC,House,Category I Residential Zone,60.0,300.0,4th quarter 2018,Not yet,15000000
968,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Nishisugamo,9,2LDK,45,1979,SRC,Other,Category I Residential Zone,60.0,300.0,3rd quarter 2018,Done,29000000
969,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Nishisugamo,9,2DK,45,1979,SRC,House,Category I Residential Zone,60.0,300.0,3rd quarter 2017,Unknown,28000000
970,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Nishisugamo,9,2LDK,55,1979,SRC,House,Category I Residential Zone,60.0,300.0,3rd quarter 2016,Not yet,24000000
971,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Nishisugamo,10,Unknown,20,2013,RC,House,Commercial Zone,80.0,500.0,1st quarter 2016,Not yet,26000000
972,"Pre-owned Condominiums, etc.",Toshima Ward,Kamiikebukuro,Nishisugamo,9,2LDK,45,2002.0,SRC,House,Category I Residential Zone,60.0,300.0,3rd quarter 2015,Done,25000000
973,Residential Land(Land Only),Toshima Ward,Kitaotsuka,Otsuka (Tokyo),5,Unknown,45,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2020,Unknown,54000000
974,Residential Land(Land Only),Toshima Ward,Kitaotsuka,Otsuka (Tokyo),5,Unknown,50,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2020,Unknown,52000000
975,Residential Land(Land Only),Toshima Ward,Kitaotsuka,Otsuka (Tokyo),7,Unknown,90,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2020,Unknown,57000000
976,"Pre-owned Condominiums, etc.",Toshima Ward,Kitaotsuka,Otsuka (Tokyo),4,Unknown,75,2000,RC,House,Commercial Zone,80.0,400.0,2nd quarter 2020,Done,75000000
977,"Pre-owned Condominiums, etc.",Toshima Ward,Kitaotsuka,Otsuka (Tokyo),6,Unknown,70,2014,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,2nd quarter 2020,Unknown,75000000
978,"Pre-owned Condominiums, etc.",Toshima Ward,Kitaotsuka,Otsuka (Tokyo),5,1K,20,2014,RC,House,Category II Residential Zone,60.0,400.0,2nd quarter 2020,Not yet,29000000
979,Residential Land(Land and Building),Toshima Ward,Kitaotsuka,Otsuka (Tokyo),6,Unknown,85,1971,W,"House, Housing Complex",Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2020,Unknown,19000000
980,"Pre-owned Condominiums, etc.",Toshima Ward,Kitaotsuka,Otsuka (Tokyo),4,Unknown,40,2012,RC,Other,Category II Residential Zone,60.0,400.0,1st quarter 2020,Unknown,43000000
981,"Pre-owned Condominiums, etc.",Toshima Ward,Kitaotsuka,Otsuka (Tokyo),6,3LDK,65,2017,RC,Other,Commercial Zone,80.0,400.0,1st quarter 2020,Not yet,76000000
982,"Pre-owned Condominiums, etc.",Toshima Ward,Kitaotsuka,Otsuka (Tokyo),5,1K,25,2018,RC,House,Commercial Zone,80.0,400.0,1st quarter 2020,Not yet,35000000
983,"Pre-owned Condominiums, etc.",Toshima Ward,Kitaotsuka,Otsuka (Tokyo),5,1K,20,2001,SRC,Other,Commercial Zone,80.0,600.0,1st quarter 2020,Unknown,21000000
984,"Pre-owned Condominiums, etc.",Toshima Ward,Kitaotsuka,Otsuka (Tokyo),5,1K,25,2018,RC,Other,Commercial Zone,80.0,400.0,1st quarter 2020,Not yet,35000000
985,"Pre-owned Condominiums, etc.",Toshima Ward,Kitaotsuka,Otsuka (Tokyo),4,1K,20,2004,SRC,House,Commercial Zone,80.0,600.0,1st quarter 2020,Not yet,21000000
986,"Pre-owned Condominiums, etc.",Toshima Ward,Kitaotsuka,Otsuka (Tokyo),5,1K,20,2010,RC,Other,Commercial Zone,80.0,600.0,1st quarter 2020,Not yet,20000000
987,"Pre-owned Condominiums, etc.",Toshima Ward,Kitaotsuka,Otsuka (Tokyo),6,1K,20,2005,RC,Other,Commercial Zone,80.0,600.0,1st quarter 2020,Not yet,17000000
988,"Pre-owned Condominiums, etc.",Toshima Ward,Kitaotsuka,Otsuka (Tokyo),3,1K,20,2003,RC,House,Commercial Zone,80.0,600.0,1st quarter 2020,Done,19000000
